"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"111",17,9,9,8,NA,17,10,172,32,NA,29,8,10,20,15,15,15,59,24,18
"112",13,51,9,302,11,13,39,15,17,16,38,55,10,281,11,40,29,8,17,10
"113",29,41,12,34,26,135,14,13,19,11,11,78,44,9,15,NA,138,NA,16,NA
"114",54,13,11,7,12,59,63,13,12,64,34,11,11,19,12,10,10,13,14,9
"115",25,9,19,10,9,49,14,19,13,51,12,20,12,25,47,13,25,12,14,13
"116",12,23,22,54,59,14,12,18,181,21,172,19,14,45,46,36,15,19,13,177
"117",135,31,20,38,316,28,8,16,21,58,11,9,12,30,19,29,24,316,14,15
"118",18,14,32,31,49,33,62,11,14,14,16,22,12,11,11,10,70,12,15,14
"119",8,19,12,11,486,NA,33,NA,8,23,11,10,NA,21,8,11,17,17,22,14
"120",15,15,12,12,9,12,15,100,95,11,10,14,13,102,25,15,25,14,23,52
"121",28,10,14,110,10,14,119,12,11,123,11,32,35,23,16,14,52,39,11,21
"122",280,9,15,249,13,12,12,9,9,11,246,13,15,17,11,10,299,8,10,17
"123",9,8,58,10,92,24,33,97,35,20,12,37,10,11,83,16,40,10,8,92
"124",102,91,12,12,33,15,23,21,44,29,9,51,8,19,12,43,13,8,10,14
"125",32,244,17,11,14,8,11,10,9,11,109,27,218,13,8,13,36,19,254,25
"126",24,20,27,72,12,28,32,13,65,9,48,25,16,76,19,20,22,7,19,46
"127",19,11,29,116,9,119,127,16,10,22,11,17,14,13,13,91,10,50,116,10
"128",10,16,43,9,24,41,10,18,16,13,10,32,12,17,27,47,17,30,7,29
"129",69,49,13,11,14,37,39,13,44,10,111,15,20,72,11,20,21,106,8,14
"130",103,12,23,103,21,73,23,16,17,15,138,10,25,28,70,12,39,18,19,16
"131",11,110,10,13,107,11,10,18,13,19,32,11,12,10,13,12,13,11,99,35
"132",73,18,14,13,76,28,29,20,253,10,36,9,18,16,28,14,14,16,11,149
"133",14,17,12,14,40,8,14,10,203,203,12,22,55,16,153,33,13,105,10,14
"134",14,28,18,488,9,15,7,346,11,28,15,14,15,482,28,14,10,12,15,12
"135",62,41,22,35,131,13,18,44,12,20,12,16,49,16,16,48,9,14,93,74
"136",13,113,9,13,10,12,18,10,116,56,10,22,121,14,10,13,12,18,9,13
"137",12,10,57,17,15,52,15,15,31,18,20,12,18,14,14,54,14,393,19,14
"138",8,30,12,35,15,12,15,15,126,10,12,96,104,10,16,26,44,17,12,136
"139",12,14,29,24,59,16,12,14,45,14,18,19,17,20,16,32,55,16,60,15
"140",19,40,109,10,18,8,11,19,11,162,12,24,48,11,8,16,39,11,41,12
"141",25,20,116,126,12,22,67,12,12,11,17,12,22,33,12,28,121,17,37,15
"142",10,162,10,42,11,17,8,12,23,18,17,16,53,57,14,14,13,16,15,17
"143",34,15,14,13,15,57,8,16,12,10,11,10,17,54,9,13,12,11,10,49
"144",9,10,42,7,137,31,10,14,33,152,10,24,17,10,10,20,24,21,12,39
"145",13,14,12,14,67,9,160,125,8,15,22,21,19,35,105,23,21,15,94,20
"146",18,15,88,15,10,23,37,10,15,13,73,10,7,42,21,16,7,21,20,9
"147",10,21,27,101,13,12,18,9,9,73,13,59,10,17,10,107,15,21,29,108
"148",56,9,12,71,64,10,30,10,12,26,62,19,10,49,10,27,10,56,12,25
"149",7,16,17,7,10,9,19,9,10,12,8,11,21,12,9,11,25,13,23,16
"150",34,26,12,18,19,14,20,83,16,12,15,17,16,131,137,21,54,12,28,36
"151",19,7,8,10,14,21,55,11,13,26,30,21,21,55,26,20,9,17,12,11
"152",19,16,47,26,21,379,46,22,13,12,19,11,12,375,18,9,9,196,12,26
"153",22,12,140,10,126,11,139,17,12,10,16,21,22,155,11,10,22,13,10,11
"154",22,12,60,16,22,13,28,14,14,299,83,32,303,16,10,16,11,294,14,17
"155",129,19,110,11,10,28,12,9,17,13,23,19,14,281,14,10,18,17,116,13
"156",15,10,17,18,17,47,65,14,12,31,75,14,11,89,13,14,12,16,14,25
"157",16,36,14,39,17,20,17,23,39,18,13,44,15,43,15,12,16,32,21,23
"158",26,16,20,10,19,76,13,21,46,87,12,13,13,46,85,26,14,14,58,14
"159",24,10,31,15,9,94,16,43,11,26,21,9,22,289,14,12,13,276,9,25
"160",11,11,41,13,30,11,11,38,39,31,31,21,15,17,10,12,16,12,9,14
"161",113,12,119,29,73,15,117,18,65,15,32,17,9,135,18,20,15,10,80,26
"162",9,10,15,47,203,11,478,28,26,13,13,19,10,141,446,12,17,10,21,11
"163",12,119,16,13,14,28,25,19,15,10,15,298,11,14,19,31,19,28,293,283
"164",42,150,21,15,8,11,22,8,10,17,96,13,11,230,13,7,15,54,11,31
"165",10,74,29,10,22,70,25,10,12,18,12,11,10,19,39,14,16,82,16,54
"166",32,15,29,32,11,24,11,13,14,16,18,14,10,15,20,196,27,16,14,279
"167",28,9,11,12,16,32,17,17,15,8,15,20,13,49,16,9,9,10,55,11
