"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"65",23,10,14,12,14,9,22,12,16,11,10,44,24,18,12,49,13,17,22,14
"66",12,78,12,16,8,19,17,13,12,12,464,9,75,10,11,17,21,13,12,10
"67",97,9,10,19,16,13,10,10,98,15,9,13,9,15,19,13,16,12,11,12
"68",97,9,35,13,101,10,8,18,72,18,13,7,10,29,12,18,10,10,13,11
"69",23,9,7,11,39,13,8,NA,11,9,9,9,7,NA,8,8,13,10,11,47
"70",31,11,12,11,45,12,16,16,15,12,9,9,18,11,17,16,13,9,10,12
"71",17,15,31,29,24,15,15,9,102,10,18,12,19,23,55,79,12,13,10,115
"72",10,15,18,9,42,20,12,12,37,9,14,21,10,12,11,16,17,12,19,17
"73",16,19,27,14,20,15,22,23,22,16,13,19,77,7,11,12,16,21,82,23
"74",11,19,11,15,23,10,14,13,11,14,14,10,15,75,9,7,8,11,13,84
"75",28,24,9,22,15,16,30,9,20,19,17,18,18,52,47,15,9,59,13,18
"76",13,14,13,68,11,8,14,9,43,18,7,9,9,13,11,9,12,10,7,7
"77",10,16,17,21,11,81,13,22,14,NA,16,11,11,NA,17,17,13,43,12,47
"78",12,24,24,25,99,20,16,21,13,13,16,12,16,21,15,23,119,19,11,23
"79",59,11,44,14,8,20,15,41,15,11,20,22,15,14,60,8,10,23,12,15
"80",8,NA,8,130,9,14,NA,17,14,11,14,13,14,9,9,14,14,9,23,15
"81",9,14,51,10,18,12,15,51,30,8,9,13,12,12,16,15,9,35,17,14
"82",10,16,74,55,10,10,14,17,28,19,21,13,20,64,9,16,17,26,13,18
"83",29,13,22,101,52,18,14,99,50,11,10,21,54,10,28,16,11,25,23,12
"84",15,14,66,11,125,12,8,10,18,15,9,11,11,11,10,9,8,11,104,126
"85",18,10,24,42,17,16,11,13,12,17,11,10,14,15,17,28,14,34,40,14
"86",24,19,16,14,20,13,52,11,12,14,12,13,16,20,14,9,58,17,10,12
"87",15,12,10,18,8,12,8,18,14,16,9,14,12,14,31,41,18,14,10,37
"88",18,24,22,13,12,9,73,8,48,33,13,10,12,77,11,17,8,10,12,18
"89",16,13,10,12,14,20,12,16,11,25,15,21,11,21,22,112,14,9,120,27
"90",10,75,28,11,14,9,8,80,9,9,51,13,9,11,24,15,15,9,14,14
"91",8,47,8,9,9,7,57,15,10,13,11,13,11,13,9,14,15,8,13,10
"92",23,27,11,14,14,13,36,16,10,50,26,18,26,9,84,66,13,16,19,31
"93",9,10,11,20,19,9,12,11,11,10,12,15,14,16,8,38,10,12,37,17
"94",9,12,17,50,14,7,9,13,10,86,12,12,11,10,16,18,10,12,105,48
"95",8,17,30,42,12,27,9,20,13,39,19,12,17,18,18,21,18,12,11,12
"96",12,25,20,18,12,10,49,10,10,39,12,13,12,48,17,23,32,16,16,38
"97",31,18,13,17,22,21,10,18,14,42,30,15,24,11,16,40,12,6,9,9
"98",13,25,15,11,14,11,39,10,34,11,72,63,24,8,11,9,17,9,76,50
"99",21,379,17,11,14,10,12,20,379,22,13,14,23,12,15,17,18,114,15,13
"100",32,10,14,14,22,16,92,18,83,11,14,15,14,34,15,16,15,10,11,11
"101",11,16,9,17,13,14,19,13,14,27,12,26,14,18,59,13,32,55,10,12
"102",16,13,10,15,35,11,17,18,14,10,11,14,12,16,12,10,36,15,16,12
"103",43,9,26,11,26,71,14,20,17,15,18,27,8,68,8,13,10,12,11,15
"104",24,16,27,15,10,21,13,25,13,18,8,12,54,14,25,13,20,58,12,35
"105",120,20,15,12,18,13,95,7,157,13,12,9,13,10,13,8,9,15,9,10
"106",16,17,23,9,15,12,19,19,58,13,15,17,15,15,53,19,10,13,16,15
"107",13,13,10,8,13,31,13,7,17,10,10,33,11,10,13,10,20,13,14,10
"108",13,43,18,11,11,9,15,7,15,11,54,11,193,20,16,10,13,31,19,74
"109",47,12,20,166,11,15,9,22,170,11,17,15,8,24,16,15,21,14,20,68
"110",158,14,25,19,15,23,8,15,24,12,13,19,19,128,8,58,16,164,15,16
"111",13,8,9,8,18,13,9,12,86,43,19,8,8,13,10,13,12,77,14,13
"112",11,39,9,14,10,10,13,12,12,11,14,14,9,36,10,13,13,8,11,9
"113",22,19,12,21,15,49,10,10,20,9,12,27,20,9,12,18,54,21,11,21
"114",19,11,10,6,11,28,23,11,11,34,15,10,11,15,12,10,9,12,15,8
"115",15,8,NA,9,8,18,11,12,10,46,10,13,10,14,63,10,NA,10,12,11
"116",9,14,12,16,14,11,9,12,14,13,NA,12,11,82,13,35,12,13,10,119
"117",66,20,15,25,13,19,7,12,14,67,10,9,10,19,14,17,18,21,12,12
"118",12,11,24,15,80,22,51,10,12,12,13,28,10,10,10,9,84,11,14,12
"119",8,14,10,10,39,17,21,40,9,19,10,11,29,17,8,9,14,14,18,11
"120",12,12,10,11,9,11,11,16,38,10,9,10,11,35,13,11,14,12,12,18
"121",17,9,12,93,9,14,36,11,10,98,9,17,18,16,12,12,25,20,9,15
"122",67,9,12,86,12,10,11,9,9,9,21,15,11,15,8,11,38,8,10,14
"123",8,7,28,8,32,10,57,10,27,12,9,14,8,9,14,10,60,9,7,33
"124",71,13,11,11,17,10,12,12,64,15,8,14,8,12,9,18,12,7,10,10
