"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"90",16,9,15,10,9,9,12,18,11,11,70,19,52,13,16,10,15,33,10,13,17,68,13,16,13,11,10,11,14,16
"91",11,9,19,9,11,334,14,15,9,11,10,15,12,48,336,9,14,11,13,15,14,8,9,9,10,15,22,14,11,13
"92",23,28,17,13,13,13,25,19,13,24,13,11,18,10,61,17,27,10,14,21,25,12,11,27,121,17,114,69,24,10
"93",15,16,14,17,7,19,15,16,96,15,13,13,108,19,11,9,17,10,12,19,17,8,15,14,12,18,19,18,14,12
"94",13,12,12,14,8,27,10,14,16,10,24,11,10,11,12,15,16,9,10,19,17,15,18,12,12,17,10,12,14,11
"95",18,17,11,25,11,13,22,11,11,13,17,13,20,19,64,23,15,9,18,64,11,22,7,13,10,27,14,15,20,22
"96",35,16,19,14,9,11,17,10,13,11,17,18,13,19,12,18,7,15,15,20,11,11,14,35,11,9,12,11,9,10
"97",11,13,14,24,15,12,10,10,10,10,9,15,10,12,11,9,14,12,11,11,7,13,15,10,12,13,13,25,13,14
"98",10,11,13,15,10,25,16,28,10,60,14,35,23,12,21,12,22,30,11,23,41,15,11,9,27,15,54,16,15,17
"99",28,18,19,127,9,10,17,8,15,21,11,134,22,18,11,16,11,10,9,14,113,16,12,14,19,16,7,17,73,25
"100",14,16,28,21,17,10,9,10,19,9,14,10,9,9,15,11,23,96,21,10,10,7,13,7,109,109,10,9,15,14
"101",12,8,16,10,19,20,11,10,8,10,9,16,14,36,10,34,18,11,12,22,10,20,9,9,13,15,17,11,18,11
"102",8,18,12,28,15,28,22,12,14,11,10,52,26,17,10,13,15,49,17,28,22,10,13,14,8,23,10,16,18,11
"103",14,21,18,19,14,19,12,19,19,10,11,32,15,15,10,14,17,14,12,17,20,28,10,11,12,12,12,15,15,17
"104",17,17,13,9,11,9,9,15,15,11,12,12,29,9,16,14,13,13,9,11,17,31,17,11,9,15,13,12,16,15
"105",12,10,12,13,12,12,24,12,9,26,10,12,14,12,12,11,12,12,10,10,8,11,10,11,12,9,12,11,8,15
"106",51,17,13,17,13,17,56,20,22,16,10,21,18,15,21,11,20,12,12,11,18,10,21,20,24,11,17,15,14,11
"107",8,12,10,11,8,9,42,7,15,9,12,13,10,8,10,11,9,11,14,15,10,11,13,8,8,8,8,11,14,53
"108",13,34,17,11,9,17,20,21,18,17,17,19,23,8,10,14,9,24,21,22,12,25,24,11,30,22,22,24,14,13
"109",16,9,15,12,11,10,17,9,39,13,10,38,21,8,23,19,12,18,9,15,19,13,13,12,14,9,12,10,17,11
"110",14,22,15,15,18,19,12,16,10,41,20,9,22,10,16,21,40,7,10,22,16,8,14,14,13,12,10,23,9,16
"111",41,28,15,11,211,19,16,10,10,33,17,11,15,11,13,29,221,14,13,13,15,15,28,10,89,63,11,18,19,28
"112",11,9,11,13,9,15,17,11,15,17,19,11,33,11,35,8,15,43,22,9,10,25,11,11,14,14,11,16,14,13
"113",10,9,9,41,22,54,10,16,20,17,13,9,8,11,14,27,25,17,20,21,16,8,24,17,23,24,13,21,12,22
"114",25,10,12,12,12,17,127,13,110,17,25,9,13,17,9,7,15,10,10,10,17,13,115,12,13,114,13,9,22,7
"115",15,13,18,9,19,32,20,19,17,11,14,21,13,15,21,17,15,9,9,11,16,22,30,23,18,18,9,10,12,12
"116",10,15,7,17,19,11,15,8,71,14,10,9,12,10,10,14,7,12,11,73,10,13,16,21,16,18,11,20,15,18
"117",16,10,10,12,11,12,10,10,17,29,9,19,17,12,36,10,13,30,19,11,31,10,11,12,13,16,18,38,9,17
"118",16,9,16,14,13,7,12,36,14,37,9,16,11,12,8,15,15,12,9,16,14,9,14,11,9,16,16,7,11,14
"119",9,9,11,13,29,16,14,13,15,26,12,13,18,11,23,15,7,97,10,100,15,10,10,9,22,30,14,17,11,14
"120",17,10,29,9,74,11,9,8,17,18,18,73,13,19,16,18,9,19,17,12,8,9,10,9,42,44,11,26,20,19
"121",19,15,14,13,10,14,10,20,18,11,14,12,13,8,15,17,7,13,12,13,89,10,20,58,21,17,11,10,88,9
"122",23,10,13,7,49,14,8,14,7,21,10,16,23,12,7,10,9,10,20,7,47,15,13,11,13,8,11,19,45,10
