"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"312",15,85,14,32,21,45,16,9,85,87
"313",19,173,109,19,10,147,19,12,13,39
"314",62,9,26,15,118,10,72,26,82,16
"315",15,14,43,49,30,56,11,12,15,58
"316",12,17,13,49,10,8,16,55,16,10
"317",102,19,48,58,13,100,73,80,13,11
"318",26,40,22,23,18,28,33,30,42,27
"319",14,93,99,11,61,36,7,12,65,24
"320",19,10,15,42,16,17,47,36,14,12
"321",12,15,29,24,27,36,22,11,17,22
"322",12,33,14,12,28,11,10,34,10,12
"323",17,86,15,13,90,24,32,20,8,7
"324",21,180,25,11,79,57,26,102,15,116
"325",15,13,10,26,14,15,22,73,75,22
"326",14,18,72,77,17,74,20,25,12,75
"327",92,14,96,22,33,14,39,67,12,9
"328",11,13,57,17,21,14,12,27,10,44
"329",44,373,351,346,43,12,17,23,307,24
"330",113,23,35,69,31,61,19,13,19,91
"331",47,33,22,41,85,17,117,20,73,17
"332",15,24,21,99,104,108,24,10,9,17
"333",10,29,56,41,38,10,12,75,47,11
"334",113,10,21,65,236,72,13,48,13,13
"335",17,8,11,35,15,17,12,73,9,59
"336",65,13,10,35,62,21,27,23,15,29
"337",8,11,21,13,35,12,19,11,31,15
"338",17,86,57,131,18,63,23,12,82,123
"339",10,11,11,39,46,12,10,19,44,12
"340",31,21,11,10,16,13,14,24,18,32
"341",11,44,10,41,42,26,24,27,14,15
"342",40,11,12,16,27,27,38,20,63,62
"343",126,79,19,15,103,21,13,119,37,18
"344",32,48,23,31,22,70,71,15,14,16
"345",37,17,39,23,44,21,17,22,9,13
"346",122,36,102,16,NA,18,NA,10,42,81
"347",53,17,273,28,NA,11,37,95,14,18
"348",82,15,187,178,205,22,17,47,12,14
"349",125,14,76,14,41,14,19,22,44,141
"350",20,44,8,14,10,16,9,20,38,38
"351",15,87,21,38,213,18,26,66,71,206
"352",120,10,18,44,87,8,112,15,13,52
"353",12,11,97,23,13,14,27,11,96,17
"354",39,20,13,47,15,18,41,39,20,51
"355",16,11,279,15,11,75,19,12,11,20
"356",80,39,59,14,105,15,13,17,32,28
"357",55,65,19,29,16,16,21,57,20,20
"358",21,32,117,15,31,25,62,57,20,117
"359",26,27,14,33,34,18,14,12,22,10
"360",20,33,27,19,90,42,85,25,20,18
"361",34,24,19,243,10,11,19,44,29,49
"362",14,13,26,77,423,26,15,19,50,311
"363",18,21,127,78,108,19,118,92,23,40
"364",24,9,20,13,9,13,15,16,27,25
"365",NA,28,14,13,NA,NA,18,19,13,55
"366",24,11,12,10,15,19,30,12,11,26
"367",110,14,11,76,8,18,32,14,112,17
"368",10,35,17,13,22,10,36,20,27,42
"369",25,18,427,40,41,34,338,27,16,18
"370",136,38,11,17,23,125,12,11,49,99
"371",14,37,16,58,9,65,36,13,44,44
"372",13,17,14,26,12,10,179,15,110,10
