"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"771",9,29,27,20,11,9,10,20,129,12,13,9,27,15,10,20,22,14,13,8,17,12,19,22,120,13,10,18,16,13,28,16,11,16,10,9,10,11,9,8,10,20,16,9,13,14,11,19,10,18
"772",21,28,14,105,8,8,10,8,16,13,106,10,23,10,6,9,16,15,14,11,16,10,16,23,16,14,22,10,16,20,9,11,14,21,7,13,37,20,11,11,24,11,12,13,26,16,23,15,17,12
"773",21,8,41,13,13,8,9,18,18,13,8,22,12,11,10,12,22,22,14,7,37,8,14,21,19,17,22,16,22,14,23,9,22,15,20,16,20,14,16,20,23,13,11,8,19,19,12,13,14,18
"774",9,15,15,29,11,24,9,17,16,11,9,9,15,16,18,8,18,16,36,11,21,20,13,9,11,9,17,31,13,10,11,10,12,7,15,9,7,16,14,20,8,10,17,14,9,15,16,8,22,11
"775",16,40,10,19,13,18,9,9,9,10,19,13,13,22,17,9,14,16,11,9,17,11,9,14,13,17,11,19,10,14,20,10,8,14,11,9,23,16,9,15,14,21,9,21,39,18,15,23,17,9
"776",8,9,15,17,19,13,15,9,14,14,20,17,11,15,11,17,21,13,14,10,18,28,13,12,11,20,25,9,18,11,19,19,9,10,8,21,16,21,9,12,10,16,12,13,18,17,9,15,9,13
"777",19,10,11,23,17,21,15,25,11,54,16,23,9,13,13,23,7,12,10,14,10,11,15,20,16,19,10,10,14,27,24,12,11,16,9,14,26,17,9,14,18,11,23,15,51,24,9,12,17,12
"778",17,11,13,13,8,21,490,9,16,122,8,12,24,11,46,9,20,20,8,24,28,19,9,22,11,16,15,11,9,12,19,11,11,25,13,12,11,14,9,10,13,16,22,9,10,10,NA,24,17,185
"779",22,8,14,17,12,10,16,15,4,15,13,20,15,19,11,11,10,13,25,10,22,10,12,12,12,12,14,11,13,15,11,433,8,15,101,9,16,16,19,16,16,19,16,13,13,15,13,393,10,11
"780",30,14,16,12,13,15,18,10,18,23,13,25,11,13,21,11,22,13,26,22,12,12,16,12,16,67,11,22,7,52,9,29,10,16,174,10,13,24,19,16,14,175,11,12,12,9,19,13,7,83
"781",22,14,22,10,31,12,20,40,9,154,12,11,19,13,8,22,20,40,10,8,10,12,10,14,9,8,120,21,17,14,9,9,40,15,8,17,19,11,32,14,8,9,9,10,152,9,30,15,19,80
"782",15,13,17,15,13,17,6,13,9,11,8,17,11,14,14,8,29,10,9,12,14,29,14,10,14,14,9,13,10,10,13,14,18,12,14,13,9,10,9,11,14,9,18,11,13,15,8,10,14,12
"783",14,12,9,16,17,14,16,10,13,12,65,14,16,15,9,14,14,13,10,15,17,16,20,9,16,11,10,14,13,11,9,12,18,21,9,17,16,12,13,13,12,77,12,11,9,10,16,11,12,12
"784",7,59,16,17,21,20,42,9,13,8,9,13,8,18,14,22,19,16,11,8,9,8,8,13,12,9,11,14,16,57,10,14,14,9,14,17,10,9,13,12,7,10,15,13,10,18,17,15,15,10
"785",13,23,27,25,21,27,15,22,13,8,70,14,14,15,19,38,31,17,21,9,15,18,68,48,10,12,21,15,6,11,23,9,13,23,12,14,12,17,41,29,16,9,19,24,46,10,20,19,22,20
"786",12,20,9,22,15,16,27,12,9,13,11,12,9,13,16,9,69,9,12,14,11,17,11,14,18,20,16,10,14,12,19,16,18,13,24,10,8,16,12,11,11,9,9,11,16,12,11,74,14,10
"787",16,9,17,17,16,18,26,17,16,12,16,9,17,11,37,35,9,9,11,12,9,8,12,12,14,18,13,9,10,19,18,24,20,13,10,20,16,12,12,18,12,14,23,17,13,10,10,14,9,18
"788",8,20,18,34,27,15,6,32,17,30,22,19,17,48,79,16,4,10,15,15,9,10,12,10,28,81,10,14,17,14,16,11,8,14,12,10,13,9,11,17,9,11,13,14,22,13,19,10,11,13
"789",44,9,14,14,9,14,15,23,11,24,12,18,9,15,11,22,9,15,20,14,14,46,16,20,19,21,16,12,12,16,17,8,11,21,49,11,18,14,13,15,10,8,17,12,28,9,10,20,12,9
"790",9,11,8,11,9,8,9,9,13,9,15,8,16,8,10,11,13,14,11,10,11,12,7,16,19,9,37,12,25,14,9,16,10,10,15,12,7,12,12,9,9,12,13,10,9,18,17,34,11,15
"791",16,45,22,10,22,60,19,14,62,7,13,20,21,16,16,8,11,14,12,8,12,9,36,40,14,23,23,14,15,11,26,11,10,34,16,14,25,19,25,16,10,34,14,30,23,8,15,19,17,8
"792",8,15,12,9,23,11,11,11,12,78,18,10,10,15,10,57,12,13,8,14,19,10,11,18,9,7,13,12,9,10,19,14,15,10,11,13,17,16,23,14,24,26,78,10,6,9,11,13,22,14
"793",18,21,10,21,17,14,13,9,10,8,21,16,11,13,14,10,19,11,17,15,14,22,15,14,15,15,12,17,16,9,10,15,7,16,22,18,8,34,12,40,11,25,17,10,11,11,11,9,12,12
"794",15,12,10,10,12,6,13,13,10,18,18,18,13,21,8,8,8,8,14,16,16,16,8,13,12,18,38,10,9,8,12,17,10,9,15,7,13,17,10,15,10,17,8,15,20,11,15,11,38,10
"795",23,19,15,12,10,14,13,16,9,13,13,13,24,22,19,10,14,15,20,16,15,17,10,14,16,11,11,12,27,10,9,14,14,27,21,9,16,41,26,13,10,9,29,29,17,40,12,19,16,10
"796",36,13,32,24,11,33,22,8,17,10,13,9,18,31,9,10,11,8,11,7,24,14,9,12,54,8,8,10,13,15,36,11,15,13,26,16,11,32,50,9,24,12,17,11,13,12,11,15,11,9
"797",15,18,8,10,36,2,25,7,53,18,20,13,8,13,20,22,22,13,17,51,10,19,24,15,30,13,13,24,20,33,17,17,27,85,55,19,16,37,11,13,12,48,12,10,36,10,16,84,30,13
