"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"549",13,127,NA,14,10,17,26,22,20,29,22,13,29,NA,12,41,16,26,8,17,17,NA,10,30,33,21,50,83,12,8
"550",16,7,13,7,37,9,17,55,58,27,10,10,10,76,13,19,79,27,73,13,43,10,10,24,32,62,19,12,8,10
"551",71,9,9,10,41,10,24,15,11,38,16,16,33,13,13,15,29,17,14,11,20,14,15,53,59,11,10,15,29,15
"552",42,10,13,16,37,16,9,16,82,22,35,12,15,12,104,28,112,54,44,9,20,14,22,9,9,59,117,16,25,18
"553",12,54,18,24,32,15,11,10,15,68,12,13,55,62,24,10,17,9,13,11,18,18,27,9,11,12,22,19,7,10
"554",15,64,23,17,9,12,15,39,10,8,18,13,8,32,21,12,12,13,19,15,224,14,11,23,33,46,8,116,40,43
"555",16,15,10,18,9,15,44,9,9,174,182,24,22,32,25,8,15,12,483,8,23,13,14,35,19,13,50,16,9,14
"556",32,23,10,39,274,20,NA,42,25,15,15,64,14,15,62,11,23,12,22,29,125,13,15,17,52,13,30,12,30,24
"557",14,11,17,45,24,7,483,13,9,15,17,11,17,18,8,478,23,10,9,51,57,15,27,NA,29,8,18,13,29,16
"558",11,19,23,214,38,17,169,24,14,24,299,13,11,12,20,119,15,19,10,29,23,33,22,11,14,21,12,20,30,14
"559",16,18,12,13,16,20,17,14,15,18,9,10,12,8,11,31,47,28,9,17,18,53,20,17,37,17,24,15,11,26
"560",15,12,30,29,57,23,22,13,12,180,24,30,31,30,28,37,17,32,13,45,15,22,32,187,12,13,17,11,31,27
"561",11,163,30,23,10,23,22,9,14,19,38,8,19,179,156,8,11,13,9,145,13,23,19,13,10,9,34,226,61,19
"562",9,141,18,39,17,22,42,50,13,131,12,18,120,12,9,28,12,11,21,10,38,15,34,124,18,17,120,13,22,21
"563",10,118,12,17,10,14,103,13,19,14,166,10,10,9,151,72,8,14,8,160,13,11,14,10,10,9,9,11,6,8
"564",18,50,13,11,14,20,21,17,16,10,42,24,16,13,24,10,12,13,22,10,8,41,23,17,48,23,11,20,11,51
"565",16,10,13,29,14,11,169,19,18,12,68,9,179,12,12,15,9,174,22,15,21,25,15,100,10,20,8,152,19,10
"566",9,24,28,30,16,10,15,11,26,12,10,98,14,23,33,62,8,34,116,16,19,82,29,86,11,20,10,18,26,19
"567",11,14,60,12,15,10,13,13,11,10,12,10,12,6,17,26,17,59,9,7,10,24,9,10,64,33,10,8,12,24
"568",9,11,14,14,16,11,17,11,40,10,17,16,18,14,40,19,15,12,13,11,11,14,10,13,22,20,28,45,15,12
"569",40,162,23,15,121,20,11,11,15,12,14,51,38,11,16,13,13,20,23,31,41,10,126,16,11,141,16,14,18,17
"570",14,20,28,15,20,15,21,68,34,21,12,17,22,15,17,11,69,41,71,23,14,11,10,12,26,16,13,16,10,9
"571",8,21,21,19,15,25,21,35,9,20,12,19,15,12,15,43,14,21,46,15,9,8,11,16,19,51,16,8,17,6
"572",30,16,11,36,11,14,36,20,13,14,18,31,257,12,13,9,10,49,51,296,36,29,19,11,63,16,10,235,16,278
"573",15,48,14,20,14,108,41,71,91,18,19,44,11,11,22,104,27,22,12,35,42,29,11,16,30,14,30,30,11,22
"574",16,19,13,11,73,14,16,12,170,16,11,8,17,16,12,35,28,20,10,26,218,8,69,265,9,12,15,12,17,8
"575",83,18,97,20,10,8,14,9,8,10,16,99,12,21,97,26,11,13,14,10,26,63,15,16,22,13,20,11,98,11
"576",10,14,44,18,11,10,38,19,20,38,24,11,24,14,11,12,20,40,11,10,22,12,40,16,87,18,95,21,18,13
"577",14,13,11,35,18,16,55,55,58,65,13,181,73,18,12,37,19,16,16,14,43,13,9,8,39,32,17,20,13,36
"578",81,19,23,19,10,22,18,18,69,32,116,13,17,18,10,13,26,17,9,12,25,14,17,110,41,16,31,136,17,22
"579",18,10,13,10,NA,11,9,21,21,37,8,9,10,NA,12,63,16,NA,15,32,15,22,NA,8,9,9,11,12,17,NA
"580",21,18,18,15,29,12,15,23,8,15,12,21,254,16,228,14,64,25,62,19,16,51,17,201,49,121,133,10,15,22
"581",14,42,21,23,10,23,97,28,23,16,16,72,13,35,11,10,20,22,20,15,12,18,220,63,13,12,26,29,16,10
"582",10,8,223,30,10,8,467,172,11,9,13,12,24,10,12,13,24,23,7,9,16,11,8,9,11,10,16,15,24,160
"583",16,10,10,23,15,10,13,41,13,13,8,43,16,27,26,10,11,15,15,33,9,7,18,19,18,20,15,37,20,12
"584",24,9,11,15,16,13,24,17,10,66,19,13,19,22,12,16,16,15,11,141,25,10,220,14,27,10,107,173,15,13
"585",15,11,19,11,10,18,65,108,117,47,14,109,15,35,24,18,20,10,19,18,13,57,27,14,19,15,17,19,20,11
"586",18,19,18,24,77,40,17,19,146,10,21,15,9,122,8,156,16,140,27,16,8,153,17,30,31,11,9,15,22,9
"587",11,46,8,9,12,21,18,12,59,11,15,12,16,13,12,8,16,13,8,12,10,14,11,10,9,21,13,9,39,26
"588",NA,NA,11,14,NA,15,61,NA,13,17,NA,17,NA,NA,NA,85,NA,26,10,12,14,9,7,NA,NA,NA,NA,9,9,NA
"589",12,15,22,18,37,30,23,71,11,11,82,15,13,59,9,83,11,24,38,19,59,11,10,9,14,93,35,19,17,35
"590",18,NA,26,27,13,15,16,351,11,11,16,14,NA,22,8,22,14,11,28,59,NA,11,NA,16,26,11,10,13,44,21
"591",23,12,15,13,13,16,11,15,12,18,24,77,13,19,9,10,11,16,14,11,14,15,62,25,19,8,10,27,11,9
"592",11,12,22,12,8,14,NA,NA,NA,10,13,13,29,NA,16,21,15,23,23,14,14,40,32,12,35,37,9,20,103,13
"593",11,13,9,10,14,8,8,9,12,40,12,24,16,25,9,7,12,26,258,14,24,8,22,10,216,10,197,159,8,12
"594",26,24,357,10,15,16,13,9,21,16,17,17,14,10,210,363,17,17,11,23,13,25,36,137,66,10,31,14,11,472
"595",14,11,14,22,52,15,17,65,44,11,14,18,12,15,10,17,74,77,34,21,13,12,16,15,12,13,18,82,9,12
"596",20,21,25,23,23,15,168,24,62,14,14,41,19,10,14,18,23,15,14,171,35,23,16,17,17,14,21,20,10,10
"597",9,112,12,14,18,13,10,11,18,12,18,16,75,14,13,137,12,17,10,8,14,11,19,102,17,12,11,129,13,21
"598",323,12,8,36,8,10,10,10,10,12,12,10,11,14,10,8,21,13,16,9,21,37,11,18,17,8,10,10,14,16
"599",12,10,23,78,7,18,18,9,11,113,10,9,11,18,11,18,27,10,17,10,11,13,8,32,11,10,20,7,115,12
"600",9,19,12,23,153,11,15,54,34,10,11,27,15,12,16,11,11,13,15,8,15,9,14,13,177,14,18,13,13,30
"601",10,12,13,28,22,12,87,43,7,12,7,17,9,73,35,11,16,90,98,12,9,9,14,36,9,19,17,13,10,9
"602",14,14,20,10,17,18,19,26,12,12,26,16,11,470,13,29,68,17,10,6,80,31,10,9,25,26,14,12,14,66
"603",10,358,355,357,22,17,24,11,18,29,8,11,9,48,292,74,24,15,46,12,15,32,25,25,11,15,15,10,10,9
"604",13,14,10,20,15,6,10,10,29,14,22,30,7,23,10,22,9,13,35,12,14,18,10,12,13,12,26,16,9,10
"605",21,37,14,11,18,17,14,11,16,21,9,18,15,11,13,37,9,10,52,19,14,15,11,15,39,26,28,55,20,68
"606",29,9,9,11,81,7,24,11,46,12,15,8,11,15,18,8,8,20,11,8,10,86,15,10,13,14,14,11,10,9
"607",67,10,15,25,11,57,24,13,49,37,14,38,15,123,38,68,20,15,13,11,12,12,134,22,8,21,131,7,29,16
"608",382,104,15,24,20,21,43,78,11,16,16,9,29,30,386,20,12,21,12,18,11,13,19,23,18,10,45,18,406,14
"609",10,15,41,11,20,29,11,12,14,159,39,14,11,35,31,9,24,28,12,87,36,50,29,14,18,30,63,38,9,13
"610",12,14,59,125,17,16,13,15,47,12,16,54,39,43,27,265,17,45,46,14,50,209,14,21,10,10,36,40,28,31
"611",16,10,50,43,27,26,14,10,307,22,12,21,23,45,26,332,16,28,39,14,13,22,11,11,21,16,332,11,11,16
"612",113,10,13,11,29,14,23,108,15,14,10,34,11,31,80,12,14,13,12,21,30,15,9,18,16,28,13,424,61,39
"613",16,13,20,20,11,56,21,13,8,17,22,61,27,23,14,19,17,21,35,43,25,14,9,13,10,40,16,30,16,11
"614",12,311,21,14,9,9,13,22,109,10,15,17,227,10,9,27,20,231,16,11,52,12,11,NA,22,28,23,25,10,17
"615",19,46,16,16,10,22,9,155,9,49,9,14,25,18,119,9,10,13,148,12,10,37,49,46,14,13,11,26,19,12
"616",16,9,8,22,11,10,10,8,10,9,15,24,8,8,26,8,50,14,25,10,14,17,53,9,10,9,10,12,13,31
"617",24,19,12,177,16,10,58,10,51,10,16,11,10,71,136,19,33,12,15,121,13,12,NA,8,NA,208,9,10,22,19
"618",11,18,278,24,16,27,21,14,11,9,16,11,12,15,11,18,22,21,13,8,66,9,22,175,26,14,15,14,155,17
"619",12,123,14,14,14,19,24,40,15,16,249,16,12,42,30,59,24,28,30,16,27,16,56,12,23,24,19,21,17,13
"620",10,28,10,16,85,10,102,22,9,27,88,28,15,12,24,20,21,8,28,15,11,16,9,31,103,25,38,7,35,16
"621",45,21,46,42,17,10,14,13,13,19,30,22,9,12,12,32,11,22,10,17,10,37,26,9,13,21,15,12,7,12
"622",14,17,12,27,15,13,16,10,20,32,19,87,21,35,16,14,25,15,90,16,18,10,8,88,82,45,11,21,13,20
"623",18,23,11,13,70,16,10,13,35,66,13,11,27,28,39,17,9,13,45,11,11,24,11,29,16,13,15,9,19,11
"624",21,17,12,20,16,13,NA,12,129,15,8,10,19,13,66,23,15,9,15,13,32,10,12,16,NA,NA,13,19,10,10
"625",34,21,12,48,150,62,441,441,8,15,48,13,50,14,48,10,24,14,33,64,10,47,12,203,12,19,38,15,12,108
"626",25,27,33,29,15,14,24,59,20,18,NA,NA,34,NA,13,12,NA,77,30,53,12,20,11,11,44,16,20,25,24,12
"627",18,11,22,20,15,63,12,17,21,18,11,9,22,10,221,13,10,22,187,9,20,17,28,19,21,182,19,28,13,10
"628",40,12,9,8,12,14,41,61,292,9,14,15,15,8,11,61,56,NA,32,132,8,11,10,13,8,33,13,9,NA,10
"629",16,17,193,222,12,12,15,11,145,15,223,16,11,13,55,13,13,12,21,49,26,17,14,22,12,11,17,15,15,38
"630",258,48,10,83,46,9,12,13,28,37,13,278,45,11,19,16,90,47,17,54,8,10,11,264,7,31,11,17,268,13
"631",10,10,9,18,21,17,55,NA,13,9,NA,NA,14,9,13,12,14,27,7,11,10,21,NA,NA,23,28,14,93,14,21
"632",13,NA,15,26,21,9,12,43,69,15,25,17,38,14,11,9,16,11,13,13,35,59,13,NA,40,14,10,NA,19,24
