"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"657",8,19,22,10,18,8,9,14,9,11,32,22,18,20,23,22,9,12,13,20,30,11,36,9,15,18,9,11,21,8,23,11,9,74,29,11,67,18,11,11
"658",12,15,95,16,11,14,93,10,7,12,19,14,10,9,13,15,15,14,8,64,7,19,10,13,9,12,13,10,18,10,17,17,17,11,8,12,11,17,14,17
"659",10,10,18,19,18,20,15,13,9,11,10,11,8,16,62,10,9,10,9,11,51,14,17,9,10,14,12,10,13,19,20,18,9,11,8,7,10,10,10,11
"660",23,11,29,20,27,21,10,19,21,9,30,20,22,14,17,21,27,20,21,14,12,17,11,13,19,14,8,29,14,11,8,20,54,14,13,16,54,26,11,14
"661",13,33,7,8,8,10,14,22,15,10,84,9,94,9,38,13,31,11,10,22,25,12,29,12,61,33,11,18,14,16,20,18,16,14,9,17,10,27,19,29
"662",26,7,16,17,9,14,15,16,11,15,11,18,10,12,10,14,16,25,12,13,11,9,13,17,9,9,15,11,13,14,10,7,8,15,12,10,9,14,11,18
"663",9,14,17,13,11,8,11,14,12,10,9,8,63,14,13,10,17,10,15,14,14,7,69,12,9,17,14,12,16,14,16,9,14,14,15,13,14,14,14,14
"664",13,11,11,12,8,9,10,9,9,14,16,10,24,20,13,11,11,11,11,37,18,24,24,12,16,24,11,15,40,15,14,15,7,14,10,24,7,9,11,14
"665",14,9,11,8,12,10,13,16,14,10,16,15,11,15,10,16,9,16,15,19,10,13,9,14,14,13,12,18,10,16,38,15,44,14,9,8,13,10,13,18
"666",14,31,14,7,15,15,17,16,16,16,9,21,10,9,17,18,14,17,14,12,14,16,15,17,9,18,16,15,10,30,9,20,15,9,18,9,16,8,14,11
"667",14,17,12,37,11,10,19,33,113,30,8,16,23,9,13,112,8,13,45,14,9,9,32,13,18,11,40,18,14,12,21,38,20,12,10,11,18,10,23,9
"668",19,16,11,9,23,27,15,14,8,21,23,41,19,13,14,25,8,14,10,17,27,8,25,10,7,44,22,12,24,24,15,16,13,9,22,14,11,18,12,16
"669",10,10,11,13,41,10,15,9,79,10,11,12,15,16,11,14,13,9,40,12,13,15,10,9,13,101,15,10,13,10,10,11,11,13,86,9,14,14,12,10
"670",26,12,9,9,15,20,56,28,24,17,11,16,11,19,11,9,20,10,17,20,13,28,17,25,10,25,58,13,10,10,10,10,9,12,14,15,13,14,15,15
"671",31,14,11,9,15,16,10,112,16,7,13,11,17,11,20,12,9,29,8,15,83,16,112,28,21,34,11,16,12,12,14,17,10,32,16,11,9,14,10,8
