"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"46",52,30,17,22,10,191,14,11,14,10,45,7,28,11,19,10,10,19,64,14,16,11,37,11,27,34,12,10,15,16,45,45,17,40,19,64,19,28,10,57,15,17,9,10,13,22,22,12,32,9
"47",13,14,11,8,22,13,14,263,14,17,12,11,11,59,21,14,14,8,190,14,15,216,14,9,8,10,12,151,16,15,9,19,373,22,11,17,13,18,13,9,12,16,21,25,13,16,13,9,375,22
"48",13,8,384,12,77,41,41,13,18,7,25,25,8,32,15,17,43,12,389,379,18,15,11,29,21,16,8,10,14,43,31,13,40,15,13,21,14,14,8,18,9,31,10,11,24,9,68,397,30,16
"49",NA,24,10,14,11,13,13,33,7,17,11,21,21,9,9,NA,21,14,11,12,8,17,13,19,32,13,36,13,9,11,12,NA,12,34,9,9,10,18,NA,10,14,15,11,17,13,10,14,10,25,10
"50",NA,NA,38,19,6,112,14,8,109,15,NA,8,NA,NA,15,7,13,NA,NA,54,17,NA,17,14,14,9,NA,40,NA,17,15,86,NA,17,15,NA,10,10,NA,NA,21,NA,NA,20,25,63,NA,NA,8,NA
"51",9,NA,10,11,11,12,28,NA,20,27,22,NA,59,12,10,13,12,221,188,16,10,19,29,12,NA,NA,53,18,NA,NA,20,85,11,29,NA,12,10,NA,7,NA,92,NA,NA,15,60,15,17,16,23,NA
"52",11,103,16,24,13,52,41,17,10,9,21,11,75,174,27,19,11,9,10,20,11,22,56,15,12,17,17,17,16,9,62,11,42,11,8,9,177,171,11,13,42,75,29,38,15,16,33,9,18,21
"53",12,22,16,22,27,18,13,13,13,10,11,9,27,11,16,15,19,13,11,26,10,15,16,14,12,33,10,23,62,17,72,18,18,7,13,63,10,11,12,20,16,11,13,60,9,7,12,13,15,15
"54",16,72,15,9,22,16,26,16,19,17,37,14,31,8,18,9,12,10,28,12,10,34,14,10,12,195,14,9,12,7,21,103,11,26,13,11,12,40,13,11,152,148,27,21,11,48,13,22,9,12
"55",11,15,18,11,18,25,15,18,13,11,14,21,18,10,12,15,21,24,NA,16,20,NA,16,41,12,9,28,10,9,15,15,9,28,13,23,91,NA,14,253,20,17,19,20,14,487,14,15,16,10,14
"56",12,17,12,71,9,11,18,69,9,15,10,14,14,70,14,9,11,11,14,11,18,12,22,22,10,12,11,18,54,12,13,24,63,25,13,14,22,52,20,17,18,13,8,12,12,11,38,10,20,17
"57",89,NA,9,10,32,37,48,10,10,10,16,NA,108,NA,10,10,8,14,9,14,19,16,10,10,10,16,14,17,12,9,19,26,15,12,15,13,20,30,12,14,10,11,81,24,9,14,19,12,9,13
"58",34,51,8,13,16,36,16,23,22,12,17,103,13,37,12,42,16,12,12,72,16,327,57,10,10,172,371,45,352,25,19,64,8,22,13,10,33,14,16,45,18,32,13,19,18,26,21,84,16,53
"59",16,11,11,12,13,11,9,12,23,22,30,17,12,22,17,12,21,17,13,12,9,56,21,20,48,17,15,10,30,13,9,22,10,10,12,19,54,43,9,14,11,21,14,47,10,10,7,9,19,20
"60",36,8,18,11,15,26,38,8,9,12,164,179,11,14,34,150,18,20,12,30,8,22,51,15,13,23,14,44,25,12,9,13,7,28,68,14,9,15,24,16,18,14,9,12,11,22,22,32,26,156
"61",11,12,19,94,12,97,19,21,30,53,10,11,14,17,13,16,20,19,12,10,8,14,59,11,17,60,16,19,77,11,14,12,8,15,13,9,10,29,24,9,19,19,29,11,20,13,37,56,18,17
