"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"79",10,15,18,21,17,194,31,16,165,94,18,39,11,19,13,24,25,9,14,14,85,9,30,17,9,21,9,14,19,12,200,13,14,12,26,14,7,10,18,7
"80",18,10,114,15,16,425,76,22,28,15,12,8,123,463,25,12,17,8,89,20,13,47,19,9,16,13,11,9,11,10,13,10,420,16,375,11,13,12,17,17
"81",11,94,20,27,59,26,9,16,11,19,39,41,7,34,128,34,14,172,14,9,8,8,10,17,15,37,35,170,9,31,8,9,13,10,12,130,20,68,51,26
"82",14,15,25,18,10,14,49,15,9,19,39,11,433,29,10,13,13,15,14,10,9,430,14,12,25,14,11,12,28,13,51,15,17,13,12,15,20,11,101,101
"83",17,33,16,80,11,12,13,24,16,8,12,15,21,41,10,10,11,24,10,84,18,8,18,83,81,30,9,16,21,23,13,8,11,20,11,26,31,17,19,9
"84",47,11,19,12,11,11,29,18,36,22,316,15,11,10,13,12,20,33,11,16,11,15,15,139,29,15,12,13,12,13,24,78,29,86,12,18,14,26,106,21
"85",19,25,29,63,12,12,24,17,11,119,12,52,19,9,9,29,31,20,12,15,23,112,12,18,11,92,13,12,67,17,16,8,22,18,23,9,8,11,9,14
"86",12,16,73,22,10,13,10,20,22,10,20,11,137,26,11,98,22,11,11,26,19,161,11,15,13,13,9,10,9,29,10,10,8,23,10,10,10,11,13,197
"87",9,9,13,9,8,13,35,10,19,12,13,12,10,NA,13,NA,13,10,11,15,10,13,29,12,7,27,18,19,10,12,NA,21,9,21,NA,17,23,12,9,8
"88",12,9,37,182,11,32,10,12,15,197,11,7,9,10,9,14,8,10,20,8,23,10,28,10,11,15,179,19,31,9,8,11,17,11,34,202,13,166,23,15
"89",11,17,27,13,46,10,NA,10,22,23,14,33,14,13,75,12,13,13,25,12,16,35,13,25,13,9,22,22,12,10,20,12,225,351,12,74,15,24,19,NA
"90",10,21,10,15,18,NA,12,15,9,16,16,467,18,30,8,11,26,NA,10,24,23,21,10,12,117,23,62,17,14,13,7,9,17,11,24,8,12,13,8,13
"91",18,14,50,24,15,11,10,16,15,26,25,13,14,30,11,19,35,21,20,24,12,11,12,16,20,19,27,12,14,16,50,19,13,24,29,16,12,54,16,40
"92",22,10,9,9,12,NA,11,12,24,13,11,NA,55,16,13,25,35,11,11,NA,8,20,6,9,15,12,12,NA,93,16,15,119,9,76,10,11,16,7,12,30
"93",11,10,22,17,14,9,17,32,38,13,11,13,11,41,8,8,9,10,23,20,14,9,16,11,7,8,35,19,17,36,15,24,13,16,17,9,25,23,10,17
"94",11,19,14,14,10,11,10,9,14,38,13,17,12,16,17,23,50,97,9,15,18,11,115,126,12,15,10,13,106,13,9,12,8,28,9,14,13,25,20,27
"95",19,8,16,70,13,25,13,22,20,11,68,12,427,12,406,213,10,10,9,14,13,34,33,10,10,15,66,12,23,17,51,9,10,14,17,28,187,63,33,41
"96",9,11,17,21,12,16,96,11,13,27,23,72,11,25,14,9,12,13,45,15,66,19,20,13,8,11,22,8,13,23,21,28,12,92,7,15,10,9,11,17
"97",22,42,467,15,45,21,35,40,37,461,11,14,22,23,9,11,14,28,25,15,68,20,30,38,37,106,14,47,17,17,43,14,19,25,70,27,23,18,10,28
"98",50,15,10,9,255,11,11,30,20,14,16,12,35,19,9,273,9,14,13,9,15,54,18,10,9,15,22,294,13,10,9,17,25,359,10,27,51,17,10,10
"99",9,26,7,45,14,147,24,10,22,12,8,22,13,18,15,12,61,9,40,48,7,8,11,8,14,12,12,22,8,78,259,21,65,70,12,14,10,12,42,34
"100",28,18,8,93,9,470,18,131,9,12,15,14,10,11,10,16,9,66,7,12,11,12,14,22,29,12,23,11,7,37,16,11,18,63,10,13,13,17,457,13
"101",10,21,14,12,21,26,20,20,17,22,24,39,9,90,14,11,240,303,33,22,10,33,17,22,13,86,12,12,241,16,39,16,12,25,10,22,25,16,28,18
"102",9,122,16,9,16,13,9,30,56,14,15,12,106,30,19,10,23,32,10,26,38,122,46,26,25,82,15,20,16,28,15,23,14,20,11,12,135,53,11,41
"103",13,19,23,34,13,34,36,11,12,11,10,33,10,17,56,12,22,20,9,14,16,7,27,13,18,11,19,10,19,17,10,49,22,39,26,67,62,21,16,11
"104",31,12,179,13,11,10,21,13,13,14,8,42,14,17,51,13,52,18,19,152,9,16,19,31,20,11,11,12,14,159,21,11,25,45,173,23,13,11,171,18
"105",54,12,19,13,15,26,NA,12,72,39,12,93,12,13,20,9,15,27,30,17,14,12,9,NA,71,26,NA,18,13,19,14,8,14,NA,23,9,14,18,20,16
"106",194,18,11,24,19,18,33,12,18,23,10,40,9,20,14,12,12,68,356,11,NA,37,11,15,43,34,23,12,13,318,9,19,10,10,13,13,11,21,15,12
"107",12,7,8,17,30,11,7,9,14,11,104,125,8,12,9,17,10,12,17,8,9,10,115,10,19,93,7,16,10,13,12,118,9,17,10,13,37,19,18,11
"108",13,10,18,21,351,243,15,13,30,27,8,238,14,14,17,15,10,40,23,14,11,12,18,16,18,10,261,23,14,21,13,20,9,9,19,11,48,10,18,11
"109",17,13,16,26,13,15,15,13,12,109,18,46,13,148,41,14,69,24,31,99,11,11,23,14,475,10,31,20,15,9,12,11,14,30,22,54,12,14,8,16
"110",434,11,27,12,12,25,443,16,231,12,16,26,13,48,20,14,12,11,10,35,252,45,10,17,12,442,11,7,29,12,26,32,22,10,13,279,11,12,9,242
"111",8,159,15,12,9,40,34,21,73,15,19,20,112,11,34,11,10,27,17,114,17,9,12,34,12,11,10,10,11,59,25,20,9,14,13,20,10,22,21,160
